268,Newburyport/Rockport Line,0,8,North Beverly,42.582471,-70.884501,Secondary
269,Newburyport/Rockport Line,0,9,Hamilton/ Wenham,42.610756,-70.874005,Secondary
270,Newburyport/Rockport Line,0,10,Ipswich,42.678355,-70.840024,Secondary
271,Newburyport/Rockport Line,0,11,Rowley,42.725351,-70.859436,Secondary
272,Newburyport/Rockport Line,0,12,Newburyport,42.800292,-70.880262,Secondary
273,Newburyport/Rockport Line,0,13,Montserrat,42.561483,-70.870035,Primary
274,Newburyport/Rockport Line,0,14,Prides Crossing,42.559513,-70.824813,Primary
275,Newburyport/Rockport Line,0,15,Beverly Farms,42.561403,-70.812745,Primary
276,Newburyport/Rockport Line,0,16,Manchester,42.57357,-70.770473,Primary
277,Newburyport/Rockport Line,0,17,West Gloucester,42.610928,-70.706456,Primary
278,Newburyport/Rockport Line,0,18,Gloucester,42.616069,-70.668767,Primary
279,Newburyport/Rockport Line,0,19,Rockport,42.656173,-70.625616,Primary
280,Newburyport/Rockport Line,1,1,Rockport,42.656173,-70.625616,Primary
281,Newburyport/Rockport Line,1,2,Gloucester,42.616069,-70.668767,Primary
282,Newburyport/Rockport Line,1,3,West Gloucester,42.610928,-70.706456,Primary
283,Newburyport/Rockport Line,1,4,Manchester,42.57357,-70.770473,Primary
284,Newburyport/Rockport Line,1,5,Beverly Farms,42.561403,-70.812745,Primary
285,Newburyport/Rockport Line,1,6,Prides Crossing,42.559513,-70.824813,Primary
286,Newburyport/Rockport Line,1,7,Montserrat,42.561483,-70.870035,Primary
287,Newburyport/Rockport Line,1,8,Newburyport,42.800292,-70.880262,Secondary
288,Newburyport/Rockport Line,1,9,Rowley,42.725351,-70.859436,Secondary
289,Newburyport/Rockport Line,1,10,Ipswich,42.678355,-70.840024,Secondary
290,Newburyport/Rockport Line,1,11,Hamilton/ Wenham,42.610756,-70.874005,Secondary
291,Newburyport/Rockport Line,1,12,North Beverly,42.582471,-70.884501,Secondary
292,Newburyport/Rockport Line,1,13,Beverly,42.546907,-70.885168,Trunk
